Date,Open,High,Low,Volume
2017-07-30,200.08,209.9,194.93,83388.90934771
2017-07-29,191.24,193.0,179.0,94186.94922355
2017-07-28,204.56,204.56,189.34,134103.94288718
2017-07-27,201.14,205.0,198.85,101701.25638226
2017-07-26,199.0,209.89,193.4,223734.34508937
2017-07-25,226.35,226.59,193.0,348372.49112041
2017-07-24,226.63,229.99,224.0,79079.70131344
2017-07-23,233.23,234.35,221.2,121628.67163617
2017-07-22,218.5,237.67,214.52,176424.11178773
2017-07-21,221.94,238.0,208.5,318967.99033072
2017-07-20,192.78,237.0,186.01,614630.00125657
2017-07-19,224.0,243.9,190.1,782030.40583978
2017-07-18,187.27,249.4,176.51,873859.2655797
2017-07-17,156.29,188.88,151.55,602085.31844611
2017-07-16,174.18,176.0,130.26,618543.5642006
2017-07-15,194.62,200.99,173.5,252198.24887834
2017-07-14,205.7,207.43,183.12,198856.01410911
2017-07-13,221.47,227.0,193.07,231165.11658517
2017-07-12,194.41,228.88,181.0,418262.33760494
2017-07-11,204.89,216.5,175.56,633945.51714619
2017-07-10,241.86,241.86,203.36,287166.70769852
2017-07-09,241.55,253.31,240.31,68511.25754975
2017-07-08,236.78,249.5,231.25,145253.48976108
2017-07-07,265.73,267.74,235.01,166952.69390031
2017-07-06,266.77,275.0,261.59,89262.86748296
2017-07-05,269.35,274.97,252.67,165281.03567175
2017-07-04,277.0,282.83,265.0,108850.37460917
2017-07-03,286.17,290.0,273.07,129253.54717917
2017-07-02,263.84,293.73,255.7,192701.82387524
2017-07-01,270.78,282.99,253.23,188046.10969202
2017-06-30,298.03,306.5,270.51,228290.85421177
2017-06-29,316.46,322.9,286.22,203814.42840193
2017-06-28,281.53,323.69,260.11,431620.06476933
2017-06-27,247.9,279.3,211.0,465235.3898961
2017-06-26,271.39,293.0,206.5,545827.17514764
2017-06-25,304.06,312.0,251.3,255312.37073383
2017-06-24,326.95,330.7,295.55,126810.1071337
2017-06-23,318.28,332.95,316.66,80665.83069035
